# 2022.06.16
# 42Ca energy levels from NNDC
# Energy in keV
       E            Jπ  StateN  Doubt
     0.0            0+       1      0
  1524.7            2+       1      0
  1837.3            0+       2      0
  2424.2            2+       2      0
  2752.4            4+       1      0
  3189.3            6+       1      0
  3253.9            4+       2      0
  3300.0            0+       3      0
  3392.0            2+       3      0
  3446.9            3-       1      0
  3654.0            2+       4      0
  3780.0       (2+,3-)       1      1
  3885.0            1-       1      0
  3954.4            4-       1      0
  3999.7            4+       3      0
  4047.0            3-       2      0
  4099.7            5-       1      0
  4117.1            3-       3      0
  4180.0             0       1      1
  4232.0             1       1      1
  4342.3       (0+:4+)       1      1
  4354.0            4-       2      0
  4418.0            3-       4      0
  4443.0            4+       4      0
  4448.8            2+       5      0
  4505.0      (2,3,4)+       1      1
  4566.9        (1,2+)       1      1
  4666.0        (3,4)-       1      1
  4690.1            3-       5      0
  4717.5            6+       2      0
  4717.6            3-       5      0
  4759.7            2+       6      0
  4866.0            2+       7      0
  4897.0            5-       2      0
  4904.0            3-       6      0
  4946.9      (1,2,3)-       1      1
  4971.0            3-       7      0
  5017.1            4+       5      0
  5075.0      (1,2,3)-       1      1
  5158.0            3-       8      0
  5188.0      (2,3,4)+       1      1
  5210.3          (2+)       1      1
  5213.0             6       1      1
  5214.1          (2+)       1      1
  5320.0        (3,4)-       1      1
  5345.0            0+       3      0
  5358.0            2+       8      0
  5380.0            5-       3      0
  5393.0          (3)-       1      1
  5407.0            3-       9      0
  5439.0        (3,4)-       1      1
  5466.0     (1 to 5)-       1      1
  5472.0      (2,3,4)+       1      1
  5490.8            6-       1      0
  5491.0            3-      10      0
  5510.0            3-      11      0
  5530.0            2+       9      0
  5578.0       (0+:4+)       1      1
  5593.0            3-      12      0
  5601.0       (3-,4-)       1      1
  5624.0            3-      13      0
  5665.0          (3-)       1      1
  5670.0          (3-)       1      1
  5691.8            6+       3      0
  5716.0            2+      10      0
  5725.0       (2+:6+)       1      1
  5738.0          (2+)       1      1
  5744.0            7-       1      0
  5769.0            3-      14      0
  5774.9        (4,5)+       1      1
  5797.0        (1,2)+       1      1
  5802.0            3-      15      0
  5822.0      (1,2,3)-       1      1
  5860.0            0+       4      0
  5866.0      (1,2,3-)       1      1
  5875.0            2+      11      0
  5924.0        (3,4)-       1      1
  5925.5           (5)       1      1
  5956.0        (3,4)-       1      1
  5980.0            3-      16      0
  5994.0            3-      17      0
  6003.0         3-,4-       1      0
  6016.0            0+       5      0
  6020.0     (4+,5,6-)       1      1
  6028.0          (3)-       1      1
  6038.0      (1,2,3)-       1      1
  6080.0            0+       6      0
  6093.5       (3-:7-)       1      1
  6104.0       (0+:4+)       1      1
  6113.0            4+       6      0
  6140.8            6-       2      0
  6144.7            7-       2      0
  6158.0            3-      18      0
  6182.0      (1,2,3-)       1      1
  6212.0            3-      19      0
  6240.0            3-      20      0
  6247.9     (4+,5,6-)       1      1
  6274.0            2+      12      0
  6313.0        (2:5)+       1      1
  6390.0        (3,4)-       1      1
  6408.6            8-       1      0
  6426.0        (2:5)+       1      1
  6462.0        (3,4)-       1      1
  6516.0            -1      -1     -1
  6541.8            5+       1      0
  6553.7            9-       1      0
  6572.0        (2:5)+       1      1
  6584.7       (5-:8-)       1      1
  6614.0        (3,4)+       1      1
  6636.3            8+       1      0
  6674.8       (4+:8+)       1      1
  6715.9          (4+)       1      1
  6718.1             7       1      1
  6720.0            0+       7      0
  6746.5            4+       7      0
  6781.0            -1      -1     -1
